hash;ball;egkr;a1;a2;a3;ag;g1;g2;g3;gg;i1;i2;i3;ia;ig;f1;f2;f3;fa;fg;r1;r2;r3;ra;rg;pri;prm;prf;prr
9BCB3086A828BF3CCC7050FC9F96514F;51;48;3;3;3;3;3;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;0;5;3;4
F06A1E69C22CB14382BEE4729EBEBCDA;51;40;4;4;4;4;4;4;5;4;4;5;5;5;5;4;4;5;4;4;4;5;4;4;4;0;4;4;0
5EF0AF578B4F85BA1527899BF4491077;51;43;5;4;4;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;0;4;3;0
19B7D13A32ABE32DA4DB93C5BC91EE30;48;43;4;3;3;3;3;3;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;0;3;0;0
C8E788DD1822E42A54CD27F13157FA5B;48;20;3;4;4;4;4;3;5;4;4;4;5;4;4;4;4;3;4;4;4;5;4;4;4;0;4;0;0
73FEAD7CBD6424BAB813F88DCB0AAA9D;46;20;4;4;4;4;4;3;4;4;4;3;3;3;3;4;4;4;4;4;3;4;5;4;4;0;0;4;0
868B2AE982A6C037512F08F0A55E54F4;67;24;5;4;5;5;4;4;4;4;4;5;5;5;5;4;4;4;4;4;4;4;5;4;4;0;0;3;0
F0CC80C6D6973E51C20CA98426B65137;72;45;4;4;4;4;4;4;5;5;3;5;3;4;5;4;3;4;4;4;4;4;4;4;4;4;4;4;0
9F9C7C5F8E417A13522DC63CE78AD8A4;83;80;4;3;3;3;5;3;3;4;3;4;3;3;3;3;3;3;3;3;4;3;4;4;4;3;3;0;0
72B9E3626BCD2EAB4FC82F2FEB7118F2;88;69;4;4;4;4;4;3;3;3;3;4;4;3;4;4;3;4;3;4;5;5;4;5;5;4;4;0;0
EB7E290DD6713398DCBCC546DB25D593;64;31;4;4;3;4;3;3;3;3;3;4;3;3;4;4;3;3;3;3;3;3;3;3;3;3;4;3;0
868B2AE982A6C037512F08F0A55E54F4;75;34;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;5;4;4;4;4;3;0
E86C1EC00A2074AAF7D8687822245A7F;70;59;3;3;4;3;4;4;3;4;4;3;3;3;3;3;4;3;3;3;3;3;4;4;3;4;4;3;0
DF84E26B48E865B04AC6F3656F599063;83;28;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0
868B2AE982A6C037512F08F0A55E54F4;88;59;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;4;5;0;5
90CE108E8CBD6DB21C428BDE580D2FC0;85;79;4;4;4;4;5;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;5;4;4;0;4;0;0
A02F4F2E25660202C9F1B157CFCADD30;70;34;4;3;4;4;4;3;5;4;4;4;3;4;4;4;4;4;4;4;4;4;5;4;4;0;4;3;0
5EF0AF578B4F85BA1527899BF4491077;64;66;4;4;4;4;5;3;5;4;4;4;4;4;4;5;4;4;4;4;5;4;4;4;4;0;4;0;0
B6C15D2B8C641E95A693EA528A867511;88;69;4;4;4;4;4;4;5;4;5;4;4;3;4;4;5;4;4;4;4;4;4;4;4;0;4;4;0
B6CB54691E28B7CDF448048D08A0C2B3;62;7;5;4;4;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;0;4;3;0
062BAF2A2B5DED6C50BDD76F49EC9372;85;76;5;4;5;5;5;4;5;5;5;4;4;4;4;4;5;5;5;5;4;5;5;4;5;0;5;4;0
9AF44499D8C7F31C38F6437A483D801F;72;59;4;3;4;4;4;4;4;4;5;4;4;5;4;4;5;4;4;4;4;4;5;4;4;5;0;3;0
6EBB4D4D61C9819AF30B302768EB3718;83;62;3;3;4;3;3;3;3;3;4;3;4;4;4;4;4;4;4;4;4;5;4;4;4;0;0;0;0
2623016DB9B8B3994F574BBAEDA5FC2F;62;55;5;5;5;5;5;4;4;5;4;4;4;4;4;4;4;4;5;4;5;5;5;5;5;4;5;4;0
8A87B3B6430B7EC36BC38584F7BE482A;80;55;4;4;4;4;5;4;4;5;4;4;4;5;4;3;4;4;4;4;4;4;4;4;4;4;5;3;0
F06A1E69C22CB14382BEE4729EBEBCDA;83;52;4;3;4;4;4;3;4;4;3;3;4;4;4;3;3;3;3;3;4;4;3;4;4;3;3;0;0
